Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id
<b>Considering other people?s perspectives can help us figure out what?s true or false.,Highly disagree,1/150,Somewhat agree,3,1698237388652,1698237390887,\Somewhat agree\,\Somewhat agree\,\3\,1698237390531,1698237390531,1879,1879,2235,buq,qns-item-noham,1,4141,0.0-1.0-0.0
<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,2/150,Somewhat agree,3,1698237390890,1698237391496,\Somewhat agree\,\Somewhat agree\,\3\,1698237391203,1698237391203,313,313,606,buq,qns-item-noham,2,4750,0.0-1.0-0.1
<b>Most people just believe whatever is convenient for them.,Highly disagree,3/150,Somewhat agree,3,1698237391497,1698237392487,\Somewhat agree\,\Somewhat agree\,\3\,1698237392200,1698237392200,703,703,990,buq,qns-item-noham,3,5741,0.0-1.0-0.2
<b>Even people who are wrong about most things can be right sometimes.,Highly disagree,4/150,Somewhat agree,3,1698237392489,1698237393227,\Somewhat agree\,\Somewhat agree\,\3\,1698237392857,1698237392857,368,368,738,buq,qns-item-noham,4,6481,0.0-1.0-0.3
"<b>If the political party I support does something that upsets me, then the party may have changed, and I need to re-evaluate my support.",Highly disagree,5/150,Somewhat agree,3,1698237393228,1698237394130,\Somewhat agree\,\Somewhat agree\,\3\,1698237393778,1698237393778,550,550,902,buq,qns-item-noham,5,7384,0.0-1.0-0.4
"<b>When people disagree, one side is usually completely right.",Highly disagree,6/150,Somewhat agree,3,1698237394131,1698237394724,\Somewhat agree\,\Somewhat agree\,\3\,1698237394432,1698237394432,301,301,593,buq,qns-item-noham,6,7978,0.0-1.0-0.5
<b>People have lots of false beliefs.,Highly disagree,7/150,Somewhat agree,3,1698237394726,1698237395298,\Somewhat agree\,\Somewhat agree\,\3\,1698237395006,1698237395006,280,280,572,buq,qns-item-noham,7,8553,0.0-1.0-0.6
<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,8/150,Somewhat agree,3,1698237395300,1698237396795,\Somewhat agree\,\Somewhat agree\,\3\,1698237395635,1698237396243,335,943,1495,buq,qns-item-noham,8,10049,0.0-1.0-0.7
<b>Political questions are usually pretty complicated.,Highly disagree,9/150,Somewhat agree,3,1698237396798,1698237397795,\Somewhat agree\,\Somewhat agree\,\3\,1698237397077,1698237397077,279,279,997,buq,qns-item-noham,9,11049,0.0-1.0-0.8
<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,10/150,Somewhat agree,3,1698237397796,1698237398739,\Somewhat agree\,\Somewhat agree\,\3\,1698237398450,1698237398450,654,654,943,buq,qns-item-noham,10,11993,0.0-1.0-0.9
<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,11/150,Somewhat agree,3,1698237398741,1698237399386,\Somewhat agree\,\Somewhat agree\,\3\,1698237399111,1698237399111,370,370,645,buq,qns-item-noham,11,12640,0.0-1.0-0.10
<b>People?s false beliefs are understandable.,Highly disagree,12/150,Somewhat disagree,2,1698237399387,1698237400137,\Somewhat disagree\,\Somewhat disagree\,\2\,1698237399821,1698237399821,434,434,750,buq,qns-item-noham,12,13391,0.0-1.0-0.11
<b>I spend a lot of time trying to be informed about politics.,Highly disagree,13/150,Somewhat disagree,2,1698237400138,1698237400804,\Somewhat disagree\,\Somewhat disagree\,\2\,1698237400485,1698237400485,347,347,666,buq,qns-item-noham,13,14058,0.0-1.0-0.12
<b>I think a lot about whether my beliefs are right.,Highly disagree,14/150,Somewhat disagree,2,1698237400806,1698237401441,\Somewhat disagree\,\Somewhat disagree\,\2\,1698237401092,1698237401092,286,286,635,buq,qns-item-noham,14,14695,0.0-1.0-0.13
<b>Statistics can be pretty misleading sometimes.,Highly disagree,15/150,Somewhat disagree,2,1698237401442,1698237402070,\Somewhat disagree\,\Somewhat disagree\,\2\,1698237401780,1698237401780,338,338,628,buq,qns-item-noham,15,15324,0.0-1.0-0.14
<b>Figuring out what?s true and what?s false takes a lot of time and effort.,Highly disagree,16/150,Somewhat disagree,2,1698237402071,1698237403070,\Somewhat disagree\,\Somewhat disagree\,\2\,1698237402354,1698237402354,283,283,999,buq,qns-item-noham,16,16324,0.0-1.0-0.15
"<b>If a friend does something bad to me, it was likely an error on their part.",Highly disagree,17/150,Somewhat disagree,2,1698237403071,1698237403691,\Somewhat disagree\,\Somewhat disagree\,\2\,1698237403377,1698237403377,306,306,620,buq,qns-item-noham,17,16945,0.0-1.0-0.16
<b>I have lots of beliefs that I?m only sort of sure about.,Highly disagree,18/150,Somewhat agree,3,1698237403692,1698237404456,\Somewhat agree\,\Somewhat agree\,\3\,1698237404141,1698237404141,449,449,764,buq,qns-item-noham,18,17710,0.0-1.0-0.17
"<b>If I go to my favorite restaurant and the food is surprisingly bad, it reminds me there are many disappointments in life.",Highly disagree,19/150,Somewhat agree,3,1698237404457,1698237405103,\Somewhat agree\,\Somewhat agree\,\3\,1698237404803,1698237404803,346,346,646,buq,qns-item-noham,19,18357,0.0-1.0-0.18
<b>Sometimes my beliefs are inconvenient for me.,Highly disagree,20/150,Somewhat agree,3,1698237405105,1698237405896,\Somewhat agree\,\Somewhat agree\,\3\,1698237405446,1698237405446,341,341,791,buq,qns-item-noham,20,19150,0.0-1.0-0.19
<b>Paying attention to multiple news sources is important.,Highly disagree,21/150,Somewhat agree,3,1698237405898,1698237406525,\Somewhat agree\,\Somewhat agree\,\3\,1698237406223,1698237406223,325,325,627,buq,qns-item-noham,21,19779,0.0-1.0-0.20
