Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id
<b>Considering other people?s perspectives can help us figure out what?s true or false.,Highly disagree,1/150,Highly agree,4,1697749120509,1697749125996,\Highly agree\,\Highly agree\,\4\,1697749124471,1697749124471,3962,3962,5487,buq,qns-item-noham,1,21445,0.0-1.0-0.0
<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,2/150,Somewhat agree,3,1697749125998,1697749135210,\Highly agree\,\Somewhat agree\,\4\,1697749133334,1697749134338,7336,8340,9212,buq,qns-item-noham,2,30659,0.0-1.0-0.1
<b>Most people just believe whatever is convenient for them.,Highly disagree,3/150,Highly agree,4,1697749135211,1697749138647,\Highly agree\,\Highly agree\,\4\,1697749137239,1697749137239,2028,2028,3436,buq,qns-item-noham,3,34096,0.0-1.0-0.2
<b>Even people who are wrong about most things can be right sometimes.,Highly disagree,4/150,Somewhat agree,3,1697749138648,1697749141591,\Somewhat agree\,\Somewhat agree\,\3\,1697749140904,1697749140904,2256,2256,2943,buq,qns-item-noham,4,37040,0.0-1.0-0.3
"<b>If the political party I support does something that upsets me, then the party may have changed, and I need to re-evaluate my support.",Highly disagree,5/150,Highly agree,4,1697749141592,1697749147656,\Highly agree\,\Highly agree\,\4\,1697749146238,1697749146238,4646,4646,6064,buq,qns-item-noham,5,43105,0.0-1.0-0.4
"<b>When people disagree, one side is usually completely right.",Highly disagree,6/150,Somewhat disagree,2,1697749147657,1697749151841,\Somewhat disagree\,\Somewhat disagree\,\2\,1697749150803,1697749150803,3146,3146,4184,buq,qns-item-noham,6,47291,0.0-1.0-0.5
<b>People have lots of false beliefs.,Highly disagree,7/150,Highly agree,4,1697749151842,1697749154808,\Highly agree\,\Highly agree\,\4\,1697749154052,1697749154052,2210,2210,2966,buq,qns-item-noham,7,50257,0.0-1.0-0.6
<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,8/150,Somewhat agree,3,1697749154809,1697749159330,\Somewhat agree\,\Somewhat agree\,\3\,1697749158434,1697749158434,3625,3625,4521,buq,qns-item-noham,8,54779,0.0-1.0-0.7
<b>Political questions are usually pretty complicated.,Highly disagree,9/150,Highly agree,4,1697749159331,1697749162675,\Highly agree\,\Highly agree\,\4\,1697749161858,1697749161858,2527,2527,3344,buq,qns-item-noham,9,58124,0.0-1.0-0.8
<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,10/150,Highly agree,4,1697749162676,1697749166127,\Highly agree\,\Highly agree\,\4\,1697749165331,1697749165331,2655,2655,3451,buq,qns-item-noham,10,61576,0.0-1.0-0.9
<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,11/150,Highly agree,4,1697749166128,1697749173034,\Highly agree\,\Highly agree\,\4\,1697749169065,1697749169065,2937,2937,6906,buq,qns-item-noham,11,68484,0.0-1.0-0.10
<b>People?s false beliefs are understandable.,Highly disagree,12/150,Somewhat agree,3,1697749173036,1697749175574,\Somewhat agree\,\Somewhat agree\,\3\,1697749174861,1697749174861,1825,1825,2538,buq,qns-item-noham,12,71023,0.0-1.0-0.11
<b>I spend a lot of time trying to be informed about politics.,Highly disagree,13/150,Somewhat disagree,2,1697749175575,1697749179025,\Somewhat agree\,\Somewhat disagree\,\3\,1697749177300,1697749177859,1725,2284,3450,buq,qns-item-noham,13,74474,0.0-1.0-0.12
<b>I think a lot about whether my beliefs are right.,Highly disagree,14/150,Somewhat agree,3,1697749179026,1697749181156,\Somewhat agree\,\Somewhat agree\,\3\,1697749180445,1697749180445,1419,1419,2130,buq,qns-item-noham,14,76605,0.0-1.0-0.13
<b>Statistics can be pretty misleading sometimes.,Highly disagree,15/150,Somewhat agree,3,1697749181157,1697749187401,\Somewhat agree\,\Somewhat agree\,\3\,1697749186364,1697749186364,5207,5207,6244,buq,qns-item-noham,15,82850,0.0-1.0-0.14
<b>Figuring out what?s true and what?s false takes a lot of time and effort.,Highly disagree,16/150,Highly agree,4,1697749187402,1697749199467,\Highly agree\,\Highly agree\,\4\,1697749198637,1697749198637,11235,11235,12065,buq,qns-item-noham,16,94916,0.0-1.0-0.15
"<b>If a friend does something bad to me, it was likely an error on their part.",Highly disagree,17/150,Somewhat agree,3,1697749199468,1697749204963,\Somewhat agree\,\Somewhat agree\,\3\,1697749202442,1697749202442,2974,2974,5495,buq,qns-item-noham,17,100412,0.0-1.0-0.16
<b>I have lots of beliefs that I?m only sort of sure about.,Highly disagree,18/150,Highly agree,4,1697749204963,1697749209187,\Highly agree\,\Highly agree\,\4\,1697749208474,1697749208474,3511,3511,4224,buq,qns-item-noham,18,104636,0.0-1.0-0.17
"<b>If I go to my favorite restaurant and the food is surprisingly bad, it reminds me there are many disappointments in life.",Highly disagree,19/150,Somewhat agree,3,1697749209188,1697749212708,\Somewhat agree\,\Somewhat agree\,\3\,1697749211957,1697749211957,2769,2769,3520,buq,qns-item-noham,19,108157,0.0-1.0-0.18
<b>Sometimes my beliefs are inconvenient for me.,Highly disagree,20/150,Somewhat agree,3,1697749212708,1697749215511,\Somewhat agree\,\Somewhat agree\,\3\,1697749214825,1697749214825,2117,2117,2803,buq,qns-item-noham,20,110960,0.0-1.0-0.19
<b>Paying attention to multiple news sources is important.,Highly disagree,21/150,Highly agree,4,1697749215512,1697749217852,\Highly agree\,\Highly agree\,\4\,1697749217164,1697749217164,1652,1652,2340,buq,qns-item-noham,21,113301,0.0-1.0-0.20
"<b>If you are paying attention, please select ?Somewhat agree?",Highly disagree,22/150,Somewhat agree,3,1697749217853,1697749220154,\Somewhat agree\,\Somewhat agree\,\3\,1697749219119,1697749219119,1266,1266,2301,buq,qns-item-noham,22,115603,0.0-1.0-0.21
"<b>When I talk to others, I often worry I?ll convince them of something I didn?t mean to.",Highly disagree,23/150,Highly disagree,1,1697749220154,1697749226450,\Highly disagree\,\Highly disagree\,\1\,1697749225713,1697749225713,5559,5559,6296,buq,qns-item-noham,23,121899,0.0-1.0-0.22
<b>I would need to learn something utterly shocking about my party in order to change my political views.,Highly disagree,24/150,Somewhat agree,3,1697749226451,1697749232247,\Somewhat agree\,\Somewhat agree\,\3\,1697749229036,1697749229036,2585,2585,5796,buq,qns-item-noham,24,127696,0.0-1.0-0.23
"<b>When I have new experiences, I tend to think of them as unique.",Highly disagree,25/150,Highly agree,4,1697749232247,1697749236318,\Highly agree\,\Highly agree\,\4\,1697749235632,1697749235632,3385,3385,4071,buq,qns-item-noham,25,131767,0.0-1.0-0.24
<b>Reading lots of things is important for understanding the world.,Highly disagree,26/150,Highly agree,4,1697749236319,1697749245486,\Highly agree\,\Highly agree\,\4\,1697749244645,1697749244645,8326,8326,9167,buq,qns-item-noham,26,140935,0.0-1.0-0.25
<b>The world is complicated.,Highly disagree,27/150,Highly agree,4,1697749245486,1697749247545,\Highly agree\,\Highly agree\,\4\,1697749246870,1697749246870,1384,1384,2059,buq,qns-item-noham,27,142994,0.0-1.0-0.26
