Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id
<b>Considering other people?s perspectives can help us figure out what?s true or false.,Highly disagree,1/150,Highly agree,4,1698239219973,1698239232321,\Highly agree\,\Highly agree\,\4\,1698239229937,1698239229937,9964,9964,12348,buq,qns-item-noham,1,21362,0.0-1.0-0.0
<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,2/150,Somewhat agree,3,1698239232323,1698239239207,\Somewhat agree\,\Somewhat agree\,\3\,1698239237573,1698239237573,5250,5250,6884,buq,qns-item-noham,2,28248,0.0-1.0-0.1
<b>Most people just believe whatever is convenient for them.,Highly disagree,3/150,Somewhat agree,3,1698239239212,1698239248168,\Somewhat agree\,\Somewhat agree\,\3\,1698239244524,1698239247094,5312,7882,8956,buq,qns-item-noham,3,37209,0.0-1.0-0.2
<b>Even people who are wrong about most things can be right sometimes.,Highly disagree,4/150,Highly agree,4,1698239248172,1698239256472,\Highly agree\,\Highly agree\,\4\,1698239255157,1698239255157,6985,6985,8300,buq,qns-item-noham,4,45513,0.0-1.0-0.3
"<b>If the political party I support does something that upsets me, then the party may have changed, and I need to re-evaluate my support.",Highly disagree,5/150,Somewhat agree,3,1698239256474,1698239273652,\Somewhat disagree\,\Somewhat agree\,\2\,1698239265901,1698239270627,9427,14153,17178,buq,qns-item-noham,5,62693,0.0-1.0-0.4
"<b>When people disagree, one side is usually completely right.",Highly disagree,6/150,Somewhat agree,3,1698239273656,1698239283305,\Somewhat agree\,\Somewhat agree\,\3\,1698239281861,1698239281861,8205,8205,9649,buq,qns-item-noham,6,72346,0.0-1.0-0.5
<b>People have lots of false beliefs.,Highly disagree,7/150,Somewhat agree,3,1698239283307,1698239294290,\Somewhat agree\,\Somewhat agree\,\3\,1698239292473,1698239292473,9166,9166,10983,buq,qns-item-noham,7,83331,0.0-1.0-0.6
<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,8/150,Highly agree,4,1698239294293,1698239300484,\Highly agree\,\Highly agree\,\4\,1698239298506,1698239298506,4213,4213,6191,buq,qns-item-noham,8,89525,0.0-1.0-0.7
<b>Political questions are usually pretty complicated.,Highly disagree,9/150,Somewhat agree,3,1698239300486,1698239312595,\Somewhat disagree\,\Somewhat agree\,\2\,1698239309999,1698239310149,9513,9663,12109,buq,qns-item-noham,9,101637,0.0-1.0-0.8
<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,10/150,Highly agree,4,1698239312598,1698239324002,\Highly agree\,\Highly agree\,\4\,1698239317773,1698239317773,5175,5175,11404,buq,qns-item-noham,10,113043,0.0-1.0-0.9
<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,11/150,Somewhat agree,3,1698239324004,1698239333517,\Somewhat agree\,\Somewhat agree\,\3\,1698239330987,1698239330987,6983,6983,9513,buq,qns-item-noham,11,122558,0.0-1.0-0.10
<b>People?s false beliefs are understandable.,Highly disagree,12/150,Somewhat disagree,2,1698239333520,1698239341615,\Somewhat disagree\,\Somewhat disagree\,\2\,1698239338583,1698239338583,5063,5063,8095,buq,qns-item-noham,12,130656,0.0-1.0-0.11
<b>I spend a lot of time trying to be informed about politics.,Highly disagree,13/150,Somewhat agree,3,1698239341618,1698239348465,\Somewhat agree\,\Somewhat agree\,\3\,1698239346120,1698239346120,4502,4502,6847,buq,qns-item-noham,13,137506,0.0-1.0-0.12
<b>I think a lot about whether my beliefs are right.,Highly disagree,14/150,Highly agree,4,1698239348467,1698239356601,\Somewhat agree\,\Highly agree\,\3\,1698239353323,1698239354590,4856,6123,8134,buq,qns-item-noham,14,145642,0.0-1.0-0.13
<b>Statistics can be pretty misleading sometimes.,Highly disagree,15/150,Somewhat agree,3,1698239356604,1698239363592,\Somewhat agree\,\Somewhat agree\,\3\,1698239361173,1698239361173,4569,4569,6988,buq,qns-item-noham,15,152633,0.0-1.0-0.14
<b>Figuring out what?s true and what?s false takes a lot of time and effort.,Highly disagree,16/150,Somewhat agree,3,1698239363594,1698239373925,\Somewhat agree\,\Somewhat agree\,\3\,1698239370955,1698239370955,7361,7361,10331,buq,qns-item-noham,16,162966,0.0-1.0-0.15
"<b>If a friend does something bad to me, it was likely an error on their part.",Highly disagree,17/150,Somewhat agree,3,1698239373927,1698239381690,\Somewhat agree\,\Somewhat agree\,\3\,1698239379911,1698239379911,5984,5984,7763,buq,qns-item-noham,17,170731,0.0-1.0-0.16
<b>I have lots of beliefs that I?m only sort of sure about.,Highly disagree,18/150,Highly agree,4,1698239381692,1698239391510,\Highly agree\,\Highly agree\,\4\,1698239390026,1698239390026,8334,8334,9818,buq,qns-item-noham,18,180551,0.0-1.0-0.17
"<b>If I go to my favorite restaurant and the food is surprisingly bad, it reminds me there are many disappointments in life.",Highly disagree,19/150,Somewhat disagree,2,1698239391513,1698239406163,\Somewhat disagree\,\Somewhat disagree\,\2\,1698239404719,1698239404719,13206,13206,14650,buq,qns-item-noham,19,195204,0.0-1.0-0.18
<b>Sometimes my beliefs are inconvenient for me.,Highly disagree,20/150,Somewhat agree,3,1698239406164,1698239414925,\Somewhat agree\,\Somewhat agree\,\3\,1698239412005,1698239412005,5841,5841,8761,buq,qns-item-noham,20,203966,0.0-1.0-0.19
<b>Paying attention to multiple news sources is important.,Highly disagree,21/150,Highly agree,4,1698239414928,1698239424300,\Highly agree\,\Highly agree\,\4\,1698239422363,1698239422363,7435,7435,9372,buq,qns-item-noham,21,213341,0.0-1.0-0.20
"<b>If you are paying attention, please select ?Somewhat agree?",Highly disagree,22/150,Somewhat agree,3,1698239424302,1698239431089,\Somewhat agree\,\Somewhat agree\,\3\,1698239429022,1698239429022,4720,4720,6787,buq,qns-item-noham,22,220131,0.0-1.0-0.21
"<b>When I talk to others, I often worry I?ll convince them of something I didn?t mean to.",Highly disagree,23/150,Somewhat disagree,2,1698239431092,1698239438889,\Somewhat disagree\,\Somewhat disagree\,\2\,1698239437526,1698239437526,6434,6434,7797,buq,qns-item-noham,23,227930,0.0-1.0-0.22
<b>I would need to learn something utterly shocking about my party in order to change my political views.,Highly disagree,24/150,Somewhat agree,3,1698239438890,1698239447820,\Somewhat agree\,\Somewhat agree\,\3\,1698239443287,1698239443287,4397,4397,8930,buq,qns-item-noham,24,236861,0.0-1.0-0.23
"<b>When I have new experiences, I tend to think of them as unique.",Highly disagree,25/150,Somewhat agree,3,1698239447822,1698239456073,\Somewhat agree\,\Somewhat agree\,\3\,1698239454528,1698239454528,6706,6706,8251,buq,qns-item-noham,25,245114,0.0-1.0-0.24
<b>Reading lots of things is important for understanding the world.,Highly disagree,26/150,Highly agree,4,1698239456075,1698239462903,\Highly agree\,\Highly agree\,\4\,1698239460850,1698239460850,4775,4775,6828,buq,qns-item-noham,26,251944,0.0-1.0-0.25
<b>The world is complicated.,Highly disagree,27/150,Somewhat agree,3,1698239462906,1698239468303,\Somewhat agree\,\Somewhat agree\,\3\,1698239466255,1698239466255,3349,3349,5397,buq,qns-item-noham,27,257344,0.0-1.0-0.26
<b>I change my mind about specific policies pretty frequently.,Highly disagree,28/150,Somewhat disagree,2,1698239468306,1698239475782,\Somewhat disagree\,\Somewhat disagree\,\2\,1698239474180,1698239474180,5874,5874,7476,buq,qns-item-noham,28,264823,0.0-1.0-0.27
"<b>If a politician in my political party supports something I disagree with, I give them the benefit of the doubt, as such issues often involve hidden complexities that aren?t obvious.   ",Highly disagree,29/150,Somewhat agree,3,1698239475785,1698239499541,\Somewhat disagree\,\Somewhat agree\,\2\,1698239494689,1698239496306,18904,20521,23756,buq,qns-item-noham,29,288582,0.0-1.0-0.28
<b>People?s bad politics are usually motivated by hatefulness.,Highly disagree,30/150,Highly agree,4,1698239499544,1698239509510,\Somewhat agree\,\Highly agree\,\3\,1698239506392,1698239508039,6848,8495,9966,buq,qns-item-noham,30,298551,0.0-1.0-0.29
"<b>Most new experiences are just like old ones, but a little bit different.",Highly disagree,31/150,Somewhat agree,3,1698239509513,1698239528496,\Somewhat agree\,\Somewhat agree\,\3\,1698239526554,1698239526554,17041,17041,18983,buq,qns-item-noham,31,317537,0.0-1.0-0.30
<b>I think a lot about how to reconcile my beliefs with one another.,Highly disagree,32/150,Highly agree,4,1698239528498,1698239536207,\Highly agree\,\Highly agree\,\4\,1698239534423,1698239534423,5925,5925,7709,buq,qns-item-noham,32,325248,0.0-1.0-0.31
<b>Personal experience rarely leads people astray.,Highly disagree,33/150,Somewhat agree,3,1698239536208,1698239543545,\Somewhat agree\,\Somewhat agree\,\3\,1698239541765,1698239541765,5557,5557,7337,buq,qns-item-noham,33,332586,0.0-1.0-0.32
<b>I might have false beliefs about important topics.,Highly disagree,34/150,Somewhat disagree,2,1698239543547,1698239564773,\Somewhat disagree\,\Somewhat disagree\,\2\,1698239559628,1698239563011,16081,19464,21226,buq,qns-item-noham,34,353814,0.0-1.0-0.33
"<b>If a good friend of mine does something unexpected that upsets me, I feel like I don?t know them anymore.",Highly disagree,35/150,Somewhat agree,3,1698239564774,1698239577411,\Somewhat agree\,\Somewhat agree\,\3\,1698239571769,1698239575778,6995,11004,12637,buq,qns-item-noham,35,366452,0.0-1.0-0.34
