Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65381eea4f27d81c3184cfa8,5f920aa80a785011ef6906e3,APPROVED,2023-10-24T19:45:52.832000Z,2023-10-24T20:08:50.642000Z,2023-10-25T12:29:30.833000Z,2023-10-24T20:08:51.141318Z,1378.0,CVPIIDEI,1066,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6538212c8343c8f8866d48a2,5faa369a7112b63051d70135,APPROVED,2023-10-24T19:55:30.220000Z,2023-10-24T20:17:20.131000Z,2023-10-25T12:29:32.590000Z,2023-10-24T20:17:20.677790Z,1310.0,CVPIIDEI,1411,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6538238668fe62416ac2303d,63d003e243ba8ab8dbdb208b,APPROVED,2023-10-24T20:05:30.694000Z,2023-10-24T20:26:06.355000Z,2023-10-25T12:29:36.515000Z,2023-10-24T20:26:07.007267Z,1236.0,CVPIIDEI,6,21,Male,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
653826b907a62689af7fa944,62e6c5d05d354e1f99d612e4,APPROVED,2023-10-24T20:19:16.941000Z,2023-10-24T20:50:56.548000Z,2023-10-25T12:29:16.381000Z,2023-10-24T20:50:57.120465Z,1900.0,CVPIIDEI,1884,32,Male,Black,United States,United States,United States,English,No,Full-Time,
653827fb9bb1a6041cc0bd44,5efaffccf90911000c95a3cb,APPROVED,2023-10-24T20:24:29.765000Z,2023-10-24T21:17:16.136000Z,2023-10-25T12:29:39.953000Z,2023-10-24T21:17:16.641666Z,3167.0,CVPIIDEI,1014,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65382981a9b4e5dfa9281939,6039d32c28bb6055a5fe59b5,APPROVED,2023-10-24T20:31:05.883000Z,2023-10-24T20:50:07.643000Z,2023-10-25T12:29:42.648000Z,2023-10-24T20:50:08.232321Z,1142.0,CVPIIDEI,501,30,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
65382b35e5433b77a582315d,57656f6c2bfddf000125cce5,APPROVED,2023-10-24T20:40:44.391000Z,2023-10-24T21:01:31.758000Z,2023-10-25T12:29:57.506000Z,2023-10-24T21:01:32.194962Z,1248.0,CVPIIDEI,2245,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65382b45119235616bc22c65,5a8b3fa3b093f80001a80576,APPROVED,2023-10-24T20:38:35.524000Z,2023-10-24T20:56:54.364000Z,2023-10-25T12:29:50.395000Z,2023-10-24T20:56:55.068316Z,1099.0,CVPIIDEI,1748,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65382bbbc4ba1be5869e56c3,56f59251736c79000c2241f7,APPROVED,2023-10-24T20:40:30.289000Z,2023-10-24T21:27:58.117000Z,2023-10-25T12:29:55.819000Z,2023-10-24T21:27:58.635437Z,2848.0,CVPIIDEI,5602,33,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
65382bca1682cdb806f3734f,5dee896cf87f5552d3cd6502,APPROVED,2023-10-24T20:40:48.922000Z,2023-10-24T21:17:47.022000Z,2023-10-25T12:29:58.735000Z,2023-10-24T21:17:47.738886Z,2219.0,CVPIIDEI,1615,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
