Question,qns_options,quest_num,answer_num,question_load_timestamp,next_btn_timestamp,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,text_selected
<b>Considering other people?s perspectives can help us figure out what?s true or false.,Highly disagree,1/150,3,1698243890580,1698243901160,\3\,1698243899356,1698243900311,8776,9731,10580,buq,qns-item-noham,1,16353,0.0-1.0-0.0,
<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,2/150,3,1698243901197,1698243905691,\3\,1698243903491,1698243903491,2294,2294,4494,buq,qns-item-noham,2,20884,0.0-1.0-0.1,
<b>Most people just believe whatever is convenient for them.,Highly disagree,3/150,4,1698243905700,1698243908804,\3\,1698243907244,1698243908059,1544,2359,3104,buq,qns-item-noham,3,23998,0.0-1.0-0.2,
<b>Even people who are wrong about most things can be right sometimes.,Highly disagree,4/150,3,1698243908813,1698243914225,\3\,1698243913542,1698243913542,4729,4729,5412,buq,qns-item-noham,4,29419,0.0-1.0-0.3,
"<b>If the political party I support does something that upsets me, then the party may have changed, and I need to re-evaluate my support.",Highly disagree,5/150,2,1698243914235,1698243922405,\4\,1698243921259,1698243921868,7024,7633,8170,buq,qns-item-noham,5,37598,0.0-1.0-0.4,
"<b>When people disagree, one side is usually completely right.",Highly disagree,6/150,3,1698243922412,1698243956701,\3\,1698243956164,1698243956164,33752,33752,34289,buq,qns-item-noham,6,71894,0.0-1.0-0.5,
<b>People have lots of false beliefs.,Highly disagree,7/150,4,1698243956714,1698243959253,\4\,1698243958587,1698243958587,1873,1873,2539,buq,qns-item-noham,7,74446,0.0-1.0-0.6,
<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,8/150,3,1698243959263,1698243961132,\3\,1698243960366,1698243960366,1103,1103,1869,buq,qns-item-noham,8,76326,0.0-1.0-0.7,
<b>Political questions are usually pretty complicated.,Highly disagree,9/150,4,1698243961141,1698243963564,\3\,1698243962404,1698243963045,1263,1904,2423,buq,qns-item-noham,9,78757,0.0-1.0-0.8,
<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,10/150,3,1698243963570,1698243965924,\3\,1698243964443,1698243964443,873,873,2354,buq,qns-item-noham,10,81118,0.0-1.0-0.9,
<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,11/150,2,1698243965930,1698243968955,\2\,1698243967900,1698243967900,1970,1970,3025,buq,qns-item-noham,11,84148,0.0-1.0-0.10,
<b>People?s false beliefs are understandable.,Highly disagree,12/150,3,1698243968961,1698243971830,\2\,1698243970996,1698243971405,2035,2444,2869,buq,qns-item-noham,12,87023,0.0-1.0-0.11,
<b>I spend a lot of time trying to be informed about politics.,Highly disagree,13/150,3,1698243971838,1698243975015,\2\,1698243974228,1698243974613,2390,2775,3177,buq,qns-item-noham,13,90208,0.0-1.0-0.12,
