Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id
<b>Considering other people?s perspectives can help us figure out what?s true or false.,Highly disagree,1/150,Highly agree,4,1698243273089,1698243279828,\Highly agree\,\Highly agree\,\4\,1698243278870,1698243278870,5781,5781,6739,buq,qns-item-noham,1,45463,0.0-1.0-0.0
<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,2/150,Somewhat disagree,2,1698243279830,1698243283845,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243283363,1698243283363,3533,3533,4015,buq,qns-item-noham,2,49480,0.0-1.0-0.1
<b>Most people just believe whatever is convenient for them.,Highly disagree,3/150,Highly agree,4,1698243283846,1698243286675,\Highly agree\,\Highly agree\,\4\,1698243286279,1698243286279,2433,2433,2829,buq,qns-item-noham,3,52310,0.0-1.0-0.2
<b>Even people who are wrong about most things can be right sometimes.,Highly disagree,4/150,Somewhat agree,3,1698243286676,1698243290073,\Somewhat agree\,\Somewhat agree\,\3\,1698243289581,1698243289581,2905,2905,3397,buq,qns-item-noham,4,55709,0.0-1.0-0.3
"<b>If the political party I support does something that upsets me, then the party may have changed, and I need to re-evaluate my support.",Highly disagree,5/150,Somewhat agree,3,1698243290076,1698243294540,\Somewhat agree\,\Somewhat agree\,\3\,1698243294080,1698243294080,4004,4004,4464,buq,qns-item-noham,5,60175,0.0-1.0-0.4
"<b>When people disagree, one side is usually completely right.",Highly disagree,6/150,Somewhat disagree,2,1698243294541,1698243298171,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243297426,1698243297426,2885,2885,3630,buq,qns-item-noham,6,63806,0.0-1.0-0.5
<b>People have lots of false beliefs.,Highly disagree,7/150,Somewhat agree,3,1698243298172,1698243300229,\Somewhat agree\,\Somewhat agree\,\3\,1698243299821,1698243299821,1649,1649,2057,buq,qns-item-noham,7,65864,0.0-1.0-0.6
<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,8/150,Somewhat agree,3,1698243300230,1698243305485,\Somewhat agree\,\Somewhat agree\,\3\,1698243303152,1698243303152,2922,2922,5255,buq,qns-item-noham,8,71120,0.0-1.0-0.7
<b>Political questions are usually pretty complicated.,Highly disagree,9/150,Somewhat disagree,2,1698243305487,1698243330375,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243329909,1698243329909,24422,24422,24888,buq,qns-item-noham,9,96010,0.0-1.0-0.8
<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,10/150,Somewhat agree,3,1698243330376,1698243333019,\Somewhat agree\,\Somewhat agree\,\3\,1698243332305,1698243332305,1929,1929,2643,buq,qns-item-noham,10,98655,0.0-1.0-0.9
<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,11/150,Somewhat agree,3,1698243333021,1698243335673,\Somewhat agree\,\Somewhat agree\,\3\,1698243334785,1698243334785,1764,1764,2652,buq,qns-item-noham,11,101308,0.0-1.0-0.10
<b>People?s false beliefs are understandable.,Highly disagree,12/150,Somewhat disagree,2,1698243335674,1698243341750,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243341197,1698243341197,5523,5523,6076,buq,qns-item-noham,12,107385,0.0-1.0-0.11
<b>I spend a lot of time trying to be informed about politics.,Highly disagree,13/150,Highly agree,4,1698243341751,1698243344258,\Highly agree\,\Highly agree\,\4\,1698243343690,1698243343690,1939,1939,2507,buq,qns-item-noham,13,109893,0.0-1.0-0.12
<b>I think a lot about whether my beliefs are right.,Highly disagree,14/150,Somewhat agree,3,1698243344259,1698243371390,\Somewhat agree\,\Somewhat agree\,\3\,1698243370885,1698243370885,26626,26626,27131,buq,qns-item-noham,14,137025,0.0-1.0-0.13
<b>Statistics can be pretty misleading sometimes.,Highly disagree,15/150,Somewhat agree,3,1698243371390,1698243373905,\Somewhat agree\,\Somewhat agree\,\3\,1698243373422,1698243373422,2032,2032,2515,buq,qns-item-noham,15,139540,0.0-1.0-0.14
<b>Figuring out what?s true and what?s false takes a lot of time and effort.,Highly disagree,16/150,Somewhat agree,3,1698243373906,1698243377064,\Somewhat agree\,\Somewhat agree\,\3\,1698243376573,1698243376573,2667,2667,3158,buq,qns-item-noham,16,142699,0.0-1.0-0.15
"<b>If a friend does something bad to me, it was likely an error on their part.",Highly disagree,17/150,Somewhat disagree,2,1698243377065,1698243380426,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243380005,1698243380005,2940,2940,3361,buq,qns-item-noham,17,146061,0.0-1.0-0.16
<b>I have lots of beliefs that I?m only sort of sure about.,Highly disagree,18/150,Somewhat disagree,2,1698243380427,1698243382702,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243382246,1698243382246,1819,1819,2275,buq,qns-item-noham,18,148337,0.0-1.0-0.17
"<b>If I go to my favorite restaurant and the food is surprisingly bad, it reminds me there are many disappointments in life.",Highly disagree,19/150,Somewhat agree,3,1698243382703,1698243385664,\Somewhat agree\,\Somewhat agree\,\3\,1698243385185,1698243385185,2482,2482,2961,buq,qns-item-noham,19,151299,0.0-1.0-0.18
<b>Sometimes my beliefs are inconvenient for me.,Highly disagree,20/150,Somewhat agree,3,1698243385666,1698243388011,\Somewhat agree\,\Somewhat agree\,\3\,1698243387531,1698243387531,1865,1865,2345,buq,qns-item-noham,20,153646,0.0-1.0-0.19
<b>Paying attention to multiple news sources is important.,Highly disagree,21/150,Highly agree,4,1698243388012,1698243514631,\Highly agree\,\Highly agree\,\4\,1698243513527,1698243513527,125515,125515,126619,buq,qns-item-noham,21,280266,0.0-1.0-0.20
"<b>If you are paying attention, please select ?Somewhat agree?",Highly disagree,22/150,Somewhat agree,3,1698243514632,1698243516496,\Somewhat agree\,\Somewhat agree\,\3\,1698243516100,1698243516100,1468,1468,1864,buq,qns-item-noham,22,282131,0.0-1.0-0.21
"<b>When I talk to others, I often worry I?ll convince them of something I didn?t mean to.",Highly disagree,23/150,Somewhat disagree,2,1698243516498,1698243518777,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243518304,1698243518304,1806,1806,2279,buq,qns-item-noham,23,284412,0.0-1.0-0.22
<b>I would need to learn something utterly shocking about my party in order to change my political views.,Highly disagree,24/150,Somewhat disagree,2,1698243518778,1698243523501,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243521814,1698243523034,3036,4256,4723,buq,qns-item-noham,24,289136,0.0-1.0-0.23
"<b>When I have new experiences, I tend to think of them as unique.",Highly disagree,25/150,Somewhat agree,3,1698243523502,1698243526211,\Somewhat agree\,\Somewhat agree\,\3\,1698243525763,1698243525763,2261,2261,2709,buq,qns-item-noham,25,291846,0.0-1.0-0.24
<b>Reading lots of things is important for understanding the world.,Highly disagree,26/150,Somewhat agree,3,1698243526211,1698243527819,\Somewhat agree\,\Somewhat agree\,\3\,1698243527430,1698243527430,1219,1219,1608,buq,qns-item-noham,26,293454,0.0-1.0-0.25
<b>The world is complicated.,Highly disagree,27/150,Somewhat agree,3,1698243527820,1698243529226,\Somewhat agree\,\Somewhat agree\,\3\,1698243528878,1698243528878,1058,1058,1406,buq,qns-item-noham,27,294861,0.0-1.0-0.26
<b>I change my mind about specific policies pretty frequently.,Highly disagree,28/150,Somewhat agree,3,1698243529227,1698243530736,\Somewhat agree\,\Somewhat agree\,\3\,1698243530334,1698243530334,1107,1107,1509,buq,qns-item-noham,28,296371,0.0-1.0-0.27
"<b>If a politician in my political party supports something I disagree with, I give them the benefit of the doubt, as such issues often involve hidden complexities that aren?t obvious.   ",Highly disagree,29/150,Somewhat agree,3,1698243530736,1698243536962,\Somewhat agree\,\Somewhat agree\,\3\,1698243536359,1698243536359,5623,5623,6226,buq,qns-item-noham,29,302597,0.0-1.0-0.28
<b>People?s bad politics are usually motivated by hatefulness.,Highly disagree,30/150,Somewhat disagree,2,1698243536963,1698243545981,\Somewhat agree\,\Somewhat disagree\,\3\,1698243543104,1698243545474,6141,8511,9018,buq,qns-item-noham,30,311616,0.0-1.0-0.29
"<b>Most new experiences are just like old ones, but a little bit different.",Highly disagree,31/150,Somewhat disagree,2,1698243545982,1698243577141,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243576657,1698243576657,30675,30675,31159,buq,qns-item-noham,31,342776,0.0-1.0-0.30
<b>I think a lot about how to reconcile my beliefs with one another.,Highly disagree,32/150,Somewhat disagree,2,1698243577142,1698243578726,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243578104,1698243578104,962,962,1584,buq,qns-item-noham,32,344361,0.0-1.0-0.31
<b>Personal experience rarely leads people astray.,Highly disagree,33/150,Somewhat disagree,2,1698243578727,1698243582796,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243579512,1698243579512,785,785,4069,buq,qns-item-noham,33,348431,0.0-1.0-0.32
<b>I might have false beliefs about important topics.,Highly disagree,34/150,Somewhat disagree,2,1698243582797,1698243584933,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243584154,1698243584154,1357,1357,2136,buq,qns-item-noham,34,350568,0.0-1.0-0.33
"<b>If a good friend of mine does something unexpected that upsets me, I feel like I don?t know them anymore.",Highly disagree,35/150,Somewhat disagree,2,1698243584933,1698243587598,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243587004,1698243587004,2071,2071,2665,buq,qns-item-noham,35,353233,0.0-1.0-0.34
<b>Other people?s beliefs are often incoherent.,Highly disagree,36/150,Somewhat disagree,2,1698243587599,1698243589588,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243589130,1698243589130,1531,1531,1989,buq,qns-item-noham,36,355223,0.0-1.0-0.35
<b>It?s important to have friends who think about things differently than I do.,Highly disagree,37/150,Somewhat agree,3,1698243589589,1698243591522,\Somewhat agree\,\Somewhat agree\,\3\,1698243591075,1698243591075,1486,1486,1933,buq,qns-item-noham,37,357157,0.0-1.0-0.36
"<b>Every now and then, a new experience will unsettle beliefs I?ve had for a while.",Highly disagree,38/150,Somewhat disagree,2,1698243591523,1698243593955,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243593460,1698243593460,1937,1937,2432,buq,qns-item-noham,38,359590,0.0-1.0-0.37
<b>Some policies I agree with in principle are so bad I don?t support them. ,Highly disagree,39/150,Somewhat disagree,2,1698243593956,1698243595881,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243595481,1698243595481,1525,1525,1925,buq,qns-item-noham,39,361516,0.0-1.0-0.38
<b>I?m pretty sure I?ve accidentally spread false information.,Highly disagree,40/150,Somewhat disagree,2,1698243595883,1698243598421,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243596400,1698243596400,517,517,2538,buq,qns-item-noham,40,364056,0.0-1.0-0.39
"<b>If I go to my favorite restaurant and the food is unexpectedly bad, then they have changed owners.",Highly disagree,41/150,Highly disagree,1,1698243598422,1698243602780,\Highly disagree\,\Highly disagree\,\1\,1698243602021,1698243602272,3599,3850,4358,buq,qns-item-noham,41,368415,0.0-1.0-0.40
"<b>In politics, it?s important to trust your friends and family.",Highly disagree,42/150,Somewhat disagree,2,1698243602781,1698243628172,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243627746,1698243627746,24965,24965,25391,buq,qns-item-noham,42,393807,0.0-1.0-0.41
<b>It?s OK to have some conflicting beliefs.,Highly disagree,43/150,Somewhat disagree,2,1698243628173,1698243630404,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243629906,1698243629906,1733,1733,2231,buq,qns-item-noham,43,396039,0.0-1.0-0.42
<b>Sometimes the details of a matter seem to conflict with the big picture.,Highly disagree,44/150,Somewhat disagree,2,1698243630405,1698243632094,\Somewhat disagree\,\Somewhat disagree\,\2\,1698243631264,1698243631264,859,859,1689,buq,qns-item-noham,44,397729,0.0-1.0-0.43
