Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65cd847909abc71d8bdb9100,65cbbc191dca4c00d532d743,AWAITING REVIEW,2024-02-15T03:27:00.161000Z,2024-02-15T03:38:07.788000Z,,2024-02-15T03:38:08.434324Z,668,CVPIIDEI,3,24,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65cd869adf8f04f73b088964,65c1874b3758b1e73a551d5d,AWAITING REVIEW,2024-02-15T03:35:54.693000Z,2024-02-15T03:48:27.342000Z,,2024-02-15T03:48:27.847219Z,753,CVPIIDEI,23,28,Female,Black,United States,United States,United States,English,No,Full-Time,Not Applicable
65cd86c4a24fc7d439abc8b9,65cc16edd8d8456e10aaff2b,AWAITING REVIEW,2024-02-15T03:36:41.992000Z,2024-02-15T03:48:50.289000Z,,2024-02-15T03:48:50.803688Z,729,CVPIIDEI,7,23,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED,Not Applicable
65cd874bde506510669b580e,63929d48d18e60dd8b5e4463,AWAITING REVIEW,2024-02-15T03:39:11.301000Z,2024-02-15T04:11:41.352000Z,,2024-02-15T04:11:41.838302Z,1951,CVPIIDEI,141,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65cd8b8155674c544e5d40f5,62dc4a5fef307ee53c61afcc,AWAITING REVIEW,2024-02-15T03:56:56.141000Z,2024-02-15T04:18:16.534000Z,,2024-02-15T04:18:17.507782Z,1281,CVPIIDEI,866,30,Male,Mixed,United States,United States,United States,English,Yes,Full-Time,Not Applicable
65ce10fd405641befc097189,658301f0c304eb2e12fdcdf5,AWAITING REVIEW,2024-02-15T13:28:13.522000Z,2024-02-15T14:20:52.434000Z,,2024-02-15T14:20:53.309982Z,3159,CVPIIDEI,208,32,Female,Black,United States,United States,United States,English,No,Part-Time,Not Applicable
65ce117bfc16dcdd98a93de4,60ccbffae161aadb1880ad6c,AWAITING REVIEW,2024-02-15T13:28:30.398000Z,2024-02-15T13:41:21.242000Z,,2024-02-15T13:41:21.704233Z,771,CVPIIDEI,5826,35,Female,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce11a5b732e4800b002af0,63f3731fccf0d4e95aa80d11,AWAITING REVIEW,2024-02-15T13:29:15.832000Z,2024-02-15T14:06:12.794000Z,,2024-02-15T14:06:13.453019Z,2217,CVPIIDEI,1248,35,Male,Black,United States,United States,United States,English,No,Part-Time,Not Applicable
65ce13325340f39a0311e224,5a95700f1eda410001363018,AWAITING REVIEW,2024-02-15T13:35:53.158000Z,2024-02-15T13:48:49.414000Z,,2024-02-15T13:48:50.254296Z,777,CVPIIDEI,6,31,Female,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce1492e8be14e55bc04ebd,610971ac8159690397a047c5,AWAITING REVIEW,2024-02-15T13:41:44.249000Z,2024-02-15T13:50:26.184000Z,,2024-02-15T13:50:27.086099Z,522,CVPIIDEI,2499,32,Female,White,United States,United States,United States,English,Yes,Part-Time,Not Applicable
65ce15732334780fe61d9e8b,63c3164c08ff110d63b44dc6,AWAITING REVIEW,2024-02-15T13:45:30.661000Z,2024-02-15T14:45:02.725000Z,,2024-02-15T14:45:03.428758Z,3573,CVPIIDEI,211,33,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce174cbf66fbd4ab0f1c16,656d3a23361febf855fab944,AWAITING REVIEW,2024-02-15T13:53:21.861000Z,2024-02-15T14:09:13.111000Z,,2024-02-15T14:09:14.045624Z,952,CVPIIDEI,69,23,Female,Other,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65ce17ad726e59eeb6124895,63d3fc46ad1d27aab15872d4,AWAITING REVIEW,2024-02-15T13:54:58.357000Z,2024-02-15T14:18:22.600000Z,,2024-02-15T14:18:23.686848Z,1405,CVPIIDEI,323,26,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65ce182948863a23df3b818b,5e53f169e6ef3b3f14d0c0f9,AWAITING REVIEW,2024-02-15T13:57:22.743000Z,2024-02-15T14:09:52.873000Z,,2024-02-15T14:09:53.422668Z,751,CVPIIDEI,590,32,Male,White,United States,United States,United States,English,No,Part-Time,Not Applicable
65ce182b04cbe4743fc51284,5a1980eb5d06850001b00d84,AWAITING REVIEW,2024-02-15T13:57:34.197000Z,2024-02-15T14:05:02.072000Z,,2024-02-15T14:05:02.808870Z,448,CVPIIDEI,4690,33,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce18397f2081c133dd09d6,62d59a7b40c07da2c0a5b473,AWAITING REVIEW,2024-02-15T13:57:37.073000Z,2024-02-15T14:10:38.931000Z,,2024-02-15T14:10:39.537129Z,782,CVPIIDEI,1241,32,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65ce19e25297bdab38b5afb0,58f1017ac325470001795b01,AWAITING REVIEW,2024-02-15T14:04:31.768000Z,2024-02-15T14:22:51.744000Z,,2024-02-15T14:22:52.412966Z,1100,CVPIIDEI,2087,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
65ce19f651308eb68e6b77e5,6413577c3565b8c76d846034,AWAITING REVIEW,2024-02-15T14:05:16.580000Z,2024-02-15T14:13:57.808000Z,,2024-02-15T14:13:58.505213Z,522,CVPIIDEI,1749,30,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce1a6e25cd65224d5f17aa,6556364a457cabc2f54b1063,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
65ce1aa011d0980eb8653c5a,65c8d34ef26f5064b189789b,AWAITING REVIEW,2024-02-15T14:07:32.733000Z,2024-02-15T14:22:37.706000Z,,2024-02-15T14:22:38.292004Z,905,CVPIIDEI,6,18,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),Not Applicable
65ce1ab6317597c637b5aff3,5fff70a0ecbb600c11b588b8,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
