PROLIFIC_PID,Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,Demographic_Submission id,Demographic_Status,Demographic_Started at,Demographic_Completed at,Demographic_Reviewed at,Demographic_Archived at,Demographic_Time taken,Demographic_Completion code,Demographic_Total approvals,Demographic_Age,Demographic_Sex,Demographic_Ethnicity simplified,Demographic_Country of birth,Demographic_Country of residence,Demographic_Nationality,Demographic_Language,Demographic_Student status,Demographic_Employment status,Demographic_Custom study tncs accepted at
5fff70a0ecbb600c11b588b8,<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,1/94,Highly disagree,1,1708006095319,1708006102903,\Highly disagree\,\Highly disagree\,\1\,1708006101233,1708006101233,5914,5914,7584,buq,qns-item-noham,1,11077,0.0-1.0-0.0,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>Most people just believe whatever is convenient for them.,Highly disagree,2/94,Highly agree,4,1708006102918,1708006106276,\Highly agree\,\Highly agree\,\4\,1708006105403,1708006105403,2485,2485,3358,buq,qns-item-noham,2,14450,0.0-1.0-0.1,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,3/94,Highly agree,4,1708006106279,1708006109996,\Highly agree\,\Highly agree\,\4\,1708006109152,1708006109152,2873,2873,3717,buq,qns-item-noham,3,18170,0.0-1.0-0.2,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>Political questions are usually pretty complicated.,Highly disagree,4/94,Highly agree,4,1708006109999,1708006113187,\Highly agree\,\Highly agree\,\4\,1708006112265,1708006112265,2266,2266,3188,buq,qns-item-noham,4,21362,0.0-1.0-0.3,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,5/94,Somewhat agree,3,1708006113190,1708006118305,\Somewhat agree\,\Somewhat agree\,\3\,1708006117054,1708006117054,3864,3864,5115,buq,qns-item-noham,5,26479,0.0-1.0-0.4,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,6/94,Somewhat agree,3,1708006118310,1708006121890,\Somewhat agree\,\Somewhat agree\,\3\,1708006120987,1708006120987,2677,2677,3580,buq,qns-item-noham,6,30064,0.0-1.0-0.5,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>People?s false beliefs are understandable.,Highly disagree,7/94,Somewhat agree,3,1708006121893,1708006127662,\Somewhat agree\,\Somewhat agree\,\3\,1708006126774,1708006126774,4881,4881,5769,buq,qns-item-noham,7,35837,0.0-1.0-0.6,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>I spend a lot of time trying to be informed about politics.,Highly disagree,8/94,Highly disagree,1,1708006127666,1708006131455,\Highly disagree\,\Highly disagree\,\1\,1708006130502,1708006130502,2836,2836,3789,buq,qns-item-noham,8,39629,0.0-1.0-0.7,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>I think a lot about whether my beliefs are right.,Highly disagree,9/94,Highly disagree,1,1708006131459,1708006135645,\Highly disagree\,\Highly disagree\,\1\,1708006134901,1708006134901,3442,3442,4186,buq,qns-item-noham,9,43819,0.0-1.0-0.8,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
5fff70a0ecbb600c11b588b8,<b>Statistics can be pretty misleading sometimes.,Highly disagree,10/94,Somewhat agree,3,1708006135648,1708006139167,\Somewhat agree\,\Somewhat agree\,\3\,1708006138153,1708006138374,2505,2726,3519,buq,qns-item-noham,10,47341,0.0-1.0-0.9,65ce1ab6317597c637b5aff3,AWAITING REVIEW,2024-02-15T14:07:55.349000Z,2024-02-15T14:15:29.762000Z,,2024-02-15T14:15:30.279530Z,455.0,CVPIIDEI,997,24,Female,Asian,United States,United States,United States,English,No,Part-Time,Not Applicable
