PROLIFIC_PID,Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,Demographic_Submission id,Demographic_Status,Demographic_Started at,Demographic_Completed at,Demographic_Reviewed at,Demographic_Archived at,Demographic_Time taken,Demographic_Completion code,Demographic_Total approvals,Demographic_Age,Demographic_Sex,Demographic_Ethnicity simplified,Demographic_Country of birth,Demographic_Country of residence,Demographic_Nationality,Demographic_Language,Demographic_Student status,Demographic_Employment status,Demographic_Custom study tncs accepted at,response,prolific_id,session_id,study_id,ptp_brower,ptp_window_width,ptp_window_height
62f557535db76f7f4ab860c7,<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,1/94,Somewhat agree,3,1708007595774,1708007626653,\Somewhat agree\,\Somewhat agree\,\3\,1708007625453,1708007625453,29679,29679,30879,buq,qns-item-noham,1,212809,0.0-1.0-0.0,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>Most people just believe whatever is convenient for them.,Highly disagree,2/94,Highly agree,4,1708007626654,1708007629780,\Highly agree\,\Highly agree\,\4\,1708007629304,1708007629304,2650,2650,3126,buq,qns-item-noham,2,215936,0.0-1.0-0.1,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,3/94,Highly agree,4,1708007629782,1708007634251,\Highly agree\,\Highly agree\,\4\,1708007633666,1708007633666,3884,3884,4469,buq,qns-item-noham,3,220407,0.0-1.0-0.2,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>Political questions are usually pretty complicated.,Highly disagree,4/94,Highly agree,4,1708007634252,1708007637518,\Highly agree\,\Highly agree\,\4\,1708007637012,1708007637012,2760,2760,3266,buq,qns-item-noham,4,223674,0.0-1.0-0.3,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,5/94,Somewhat agree,3,1708007637519,1708007643251,\Somewhat agree\,\Somewhat agree\,\3\,1708007642784,1708007642784,5265,5265,5732,buq,qns-item-noham,5,229407,0.0-1.0-0.4,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,6/94,Somewhat disagree,2,1708007643251,1708007649885,\Somewhat disagree\,\Somewhat disagree\,\2\,1708007648458,1708007648458,5207,5207,6634,buq,qns-item-noham,6,236041,0.0-1.0-0.5,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>People?s false beliefs are understandable.,Highly disagree,7/94,Highly disagree,1,1708007649886,1708007654035,\Highly disagree\,\Highly disagree\,\1\,1708007653442,1708007653442,3556,3556,4149,buq,qns-item-noham,7,240191,0.0-1.0-0.6,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>I spend a lot of time trying to be informed about politics.,Highly disagree,8/94,Highly agree,4,1708007654035,1708007658939,\Highly agree\,\Highly agree\,\4\,1708007658434,1708007658434,4399,4399,4904,buq,qns-item-noham,8,245095,0.0-1.0-0.7,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>I think a lot about whether my beliefs are right.,Highly disagree,9/94,Somewhat agree,3,1708007658940,1708007662746,\Somewhat agree\,\Somewhat agree\,\3\,1708007661469,1708007661469,2529,2529,3806,buq,qns-item-noham,9,248902,0.0-1.0-0.8,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
62f557535db76f7f4ab860c7,<b>Statistics can be pretty misleading sometimes.,Highly disagree,10/94,Somewhat agree,3,1708007662747,1708007665420,\Somewhat agree\,\Somewhat agree\,\3\,1708007664964,1708007664964,2217,2217,2673,buq,qns-item-noham,10,251576,0.0-1.0-0.9,65ce1fc709958f920e7d4b1b,RETURNED,2024-02-15T14:29:30.425000Z,,,,,,2752,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,,,,,,,
