PROLIFIC_PID,Question,qns_options,quest_num,answer_num,question_load_timestamp,next_btn_timestamp,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,Demographic_Submission id,Demographic_Status,Demographic_Started at,Demographic_Completed at,Demographic_Reviewed at,Demographic_Archived at,Demographic_Time taken,Demographic_Completion code,Demographic_Total approvals,Demographic_Age,Demographic_Sex,Demographic_Ethnicity simplified,Demographic_Country of birth,Demographic_Country of residence,Demographic_Nationality,Demographic_Language,Demographic_Student status,Demographic_Employment status,Demographic_Custom study tncs accepted at
65108d02742b73e5f03efb63,<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,1/94,2,1708008881941,1708008901634,\2\,1708008900323,1708008900323,18382,18382,19693,buq,qns-item-noham,1,32473,0.0-1.0-0.0,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>Most people just believe whatever is convenient for them.,Highly disagree,2/94,3,1708008901636,1708008906266,\3\,1708008905594,1708008905594,3958,3958,4630,buq,qns-item-noham,2,37105,0.0-1.0-0.1,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,3/94,3,1708008906273,1708008928018,\3\,1708008927202,1708008927202,20929,20929,21745,buq,qns-item-noham,3,58857,0.0-1.0-0.2,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>Political questions are usually pretty complicated.,Highly disagree,4/94,3,1708008928020,1708008931722,\3\,1708008931226,1708008931226,3206,3206,3702,buq,qns-item-noham,4,62561,0.0-1.0-0.3,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,5/94,4,1708008931725,1708008973825,\4\,1708008973009,1708008973009,41284,41284,42100,buq,qns-item-noham,5,104665,0.0-1.0-0.4,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,6/94,1,1708008973828,1708008983290,\1\,1708008981193,1708008981193,7365,7365,9462,buq,qns-item-noham,6,114129,0.0-1.0-0.5,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>People?s false beliefs are understandable.,Highly disagree,7/94,2,1708008983293,1708008988945,\2\,1708008988106,1708008988106,4813,4813,5652,buq,qns-item-noham,7,119785,0.0-1.0-0.6,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>I spend a lot of time trying to be informed about politics.,Highly disagree,8/94,3,1708008988948,1708009046066,\3\,1708009045514,1708009045514,56566,56566,57118,buq,qns-item-noham,8,176905,0.0-1.0-0.7,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>I think a lot about whether my beliefs are right.,Highly disagree,9/94,3,1708009046068,1708009051970,\3\,1708009051066,1708009051066,4998,4998,5902,buq,qns-item-noham,9,182809,0.0-1.0-0.8,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65108d02742b73e5f03efb63,<b>Statistics can be pretty misleading sometimes.,Highly disagree,10/94,2,1708009051972,1708009057042,\2\,1708009056586,1708009056586,4614,4614,5070,buq,qns-item-noham,10,187881,0.0-1.0-0.9,65ce2090846439b984dbe607,AWAITING REVIEW,2024-02-15T14:36:22.300000Z,2024-02-15T15:14:08.090000Z,,2024-02-15T15:14:09.061224Z,2266.0,CVPIIDEI,209,32,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
